Ticket ID,Ticket Description,GT Ticket Type,GT Ticket Subject,GT Ticket Priority,GT Ticket Type Manual,GT Ticket Priority Manual,LLM Output,Predicted Ticket Type,Predicted Ticket Priority,Input Tokens,Output Tokens,Total Tokens,Time Taken,Correct Type Prediction,Correct Priority Prediction
4601,"I'm having an issue with the {product_purchased}. Please assist.

We cannot understand your name, please contact us to verify.

I am only interested in your product, Please choose to create a survey or email me I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",Billing inquiry,Hardware issue,High,Compliance / Legal / Security,High (Time-Sensitive / Blocking),"<result>
   <category>7</category>
   <reason_for_category>The primary intent of the ticket is a concern about the security of the product and the safety of the user's data, which directly aligns with the ""Compliance / Legal / Security"" category that covers data privacy and security concerns.</reason_for_category>
   <confidence_for_category>100</confidence_for_category>
   <urgency>3</urgency>
   <reason_for_urgency_level>The user expresses a direct concern about security and data safety, which, while not explicitly stating a breach, implies a need for prompt verification and reassurance. Security-related inquiries are time-sensitive due to potential risks, making ""High"" urgency appropriate.</reason_for_urgency_level>
   <confidence_for_urgency_level>90</confidence_for_urgency_level>
</result>",Compliance / Legal / Security,High (Time-Sensitive / Blocking),1220,1177,2397,8.630110264,TRUE,TRUE
7362,"I'm having an issue with the {product_purchased}. Please assist.

*

* https://chrome.google.com/extensions/detail/sans/sans2/sans2-beta-1 I'm using the original charger that came with my {product_purchased}, but it's not charging properly.",Refund request,Cancellation request,Low,Technical Issues,High (Time-Sensitive / Blocking),"<result>
   <category>2</category>
   <reason_for_category>The ticket reports a malfunction where the purchased product is not charging properly, which is a direct issue with the functionality of the system or device.</reason_for_category>
   <confidence_for_category>95</confidence_for_category>
   <urgency>3</urgency>
   <reason_for_urgency_level>A product not charging properly significantly restricts the customer's ability to use it, as it will eventually become unusable. This requires prompt resolution.</reason_for_urgency_level>
   <confidence_for_urgency_level>90</confidence_for_urgency_level>
</result>",Technical Issues,High (Time-Sensitive / Blocking),1215,975,2190,6.448215961,TRUE,TRUE
1586,"I'm facing issues logging into my {product_purchased} account. It says my account is locked. What should I do to unlock it?

The answer I got in my account setup file said that my account was locked for this I've noticed that the issue occurs consistently when I use a specific feature or application on my {product_purchased}.",Refund request,Data loss,Medium,Account Management,High (Time-Sensitive / Blocking),"<result>
   <category>3</category>
   <reason_for_category>The ticket explicitly states the user is ""facing issues logging into my account"" and that their ""account is locked,"" which directly falls under problems related to accessing and managing user accounts.</reason_for_category>
   <confidence_for_category>100</confidence_for_category>
   <urgency>3</urgency>
   <reason_for_urgency_level>The user is unable to log in, meaning they are blocked from using the product or service. This significantly restricts their ability to use the product and requires prompt resolution.</reason_for_urgency_level>
   <confidence_for_urgency_level>100</confidence_for_urgency_level>
</result>",Account Management,High (Time-Sensitive / Blocking),1220,620,1840,3.903657913,TRUE,TRUE
7070,"I've noticed a software bug in the {product_purchased} app. It's causing data loss and unexpected errors. How can I resolve this issue? Try running the app from the command line.

Install

$ bin. I'm not sure if this issue is specific to my device or if others have reported similar problems.",Billing inquiry,Network problem,Low,Technical Issues,"High (Time-Sensitive / Blocking)
Critical (Emergency / Escalation)","<result>
   <category>2</category>
   <reason_for_category>The ticket explicitly reports a ""software bug"" causing ""data loss and unexpected errors,"" which directly relates to malfunctions and errors preventing proper use of the product. This aligns perfectly with the definition of Technical Issues.</reason_for_category>
   <confidence_for_category>100</confidence_for_category>
   <urgency>4</urgency>
   <reason_for_urgency_level>The mention of ""data loss"" indicates a severe and urgent issue. Data loss represents a high risk and requires immediate attention and resolution, fitting the description of a Critical urgency level.</reason_for_urgency_level>
   <confidence_for_urgency_level>95</confidence_for_urgency_level>
</result>",Technical Issues,Critical (Emergency / Escalation),1216,1118,2334,7.408650875,TRUE,TRUE
1578,"I'm having an issue with the {product_purchased}. Please assist. Thanks.

4. How do you respond to feedback about products that aren't listed?

I try and avoid products on the sites that don't list I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",Technical issue,Delivery problem,Medium,Compliance / Legal / Security,Critical (Emergency / Escalation),"<result>
   <category>7</category>
   <reason_for_category>The ticket explicitly states a concern about the ""security"" of the purchased product and the desire to ""ensure that my data is safe,"" which directly aligns with the definition of the Compliance / Legal / Security category.</reason_for_category>
   <confidence_for_category>100</confidence_for_category>
   <urgency>4</urgency>
   <reason_for_urgency_level>Security concerns, even if not a confirmed breach, are inherently high-risk and require immediate attention to prevent potential data compromise or address serious customer anxiety, fitting the ""Critical"" urgency level.</reason_for_urgency_level>
   <confidence_for_urgency_level>95</confidence_for_urgency_level>
</result>",Compliance / Legal / Security,Critical (Emergency / Escalation),1222,1084,2306,7.168158293,TRUE,TRUE
1420,"I'm having an issue with the {product_purchased}. Please assist.

There are 3 people here who need an address and a PayPal address.

Hello, everyone.

It's been a while since I finished my I've noticed that the issue occurs consistently when I use a specific feature or application on my {product_purchased}.",Cancellation request,Product compatibility,Medium,Technical Issues,"Medium (Routine)
High (Time-Sensitive / Blocking)","<result>
   <category>2</category>
   <reason_for_category>The ticket explicitly states ""I'm having an issue with the {product_purchased}"" and ""the issue occurs consistently when I use a specific feature or application,"" which directly indicates a malfunction or bug within the product's functionality.</reason_for_category>
   <confidence_for_category>90</confidence_for_category>
   <urgency>3</urgency>
   <reason_for_urgency_level>The issue is described as occurring ""consistently"" when using a ""specific feature or application,"" implying a persistent problem that likely restricts or prevents the customer from effectively using that part of the product, thus warranting a high urgency.</reason_for_urgency_level>
   <confidence_for_urgency_level>85</confidence_for_urgency_level>
</result>",Technical Issues,High (Time-Sensitive / Blocking),1220,1054,2274,7.084546804,TRUE,TRUE
2500,"I've recently set up my {product_purchased}, but it fails to connect to any available networks. What steps should I take to troubleshoot this issue? - You can try sending an email with code: phreak@debian I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",Cancellation request,Product setup,High,Product/Service Inquiry,High (Time-Sensitive / Blocking),"<result>
   <category>2</category>
   <reason_for_category>The ticket explicitly states that the product ""fails to connect to any available networks,"" which is a clear malfunction preventing its proper use. The user is seeking troubleshooting steps for this issue, directly aligning with the definition of Technical Issues.</reason_for_category>
   <confidence_for_category>100</confidence_for_category>
   <urgency>3</urgency>
   <reason_for_urgency_level>The product's inability to connect to networks means it is not functioning as intended, significantly restricting or blocking the customer's ability to use the product. This requires prompt resolution.</reason_for_urgency_level>
   <confidence_for_urgency_level>95</confidence_for_urgency_level>
</result>",Technical Issues,High (Time-Sensitive / Blocking),1224,704,1928,4.693835735,FALSE,TRUE
7684,"I'm encountering a software bug in the {product_purchased}. Whenever I try to perform a specific action, the application crashes. Are there any updates or fixes available?

I'm being paid, but there is an error reporting system I've already contacted customer support multiple times, but the issue remains unresolved.",Technical issue,Delivery problem,High,Technical Issues,High (Time-Sensitive / Blocking),"<result>
   <category>2</category>
   <reason_for_category>The ticket explicitly states ""I'm encountering a software bug"" and ""the application crashes,"" which directly falls under reports of malfunctions, bugs, errors, or system crashes that prevent proper use of the product or service.</reason_for_category>
   <confidence_for_category>100</confidence_for_category>
   <urgency>3</urgency>
   <reason_for_urgency_level>The application crashing when performing a specific action indicates a significant restriction on the customer's ability to use the product. The fact that the issue remains unresolved despite multiple contacts also elevates its urgency, requiring prompt resolution to prevent further dissatisfaction.</reason_for_urgency_level>
   <confidence_for_urgency_level>95</confidence_for_urgency_level>
</result>",Technical Issues,High (Time-Sensitive / Blocking),1212,683,1895,4.358660698,TRUE,TRUE
3472,"My {product_purchased} is making strange noises and not functioning properly. I suspect there might be a hardware issue. Can you please help me with this? Please make sure not to enter for this update until I've reached the correct status The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Product inquiry,Software bug,Low,Product/Service Inquiry,"High (Time-Sensitive / Blocking)
Medium (Routine)","<result>
   <category>2</category>
   <reason_for_category>The ticket explicitly states the product is ""making strange noises and not functioning properly"" and suspects a ""hardware issue."" This directly indicates a malfunction or error related to the product's functionality, fitting the definition of Technical Issues.</reason_for_category>
   <confidence_for_category>100</confidence_for_category>
   <urgency>3</urgency>
   <reason_for_urgency_level>The product is ""not functioning properly,"" which means its core utility is compromised. Although the issue is ""intermittent,"" it still ""significantly restricts"" the customer's ability to reliably use the product, requiring prompt resolution to prevent dissatisfaction.</reason_for_urgency_level>
   <confidence_for_urgency_level>90</confidence_for_urgency_level>
</result>",Technical Issues,High (Time-Sensitive / Blocking),1218,862,2080,5.264261007,FALSE,TRUE
8302,"I'm having an issue with the {product_purchased}. Please assist. Please notify me if any additional issues are occurring (if not, I'll update the post). ~~~~~ # ######################################################### # The Product ID of I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",Product inquiry,Product compatibility,High,Product/Service Inquiry,"High (Time-Sensitive / Blocking)
Medium (Routine)","<result>
   <category>4</category>
   <reason_for_category>The user is unable to find an option to perform a desired action and is requesting guidance on how to do so. This indicates a need for clarification or steps on product usage, fitting the description of a Product/Service Inquiry.</reason_for_category>
   <confidence_for_category>95</confidence_for_category>
   <urgency>3</urgency>
   <reason_for_urgency_level>The user states they are ""unable to find the option to perform the desired action,"" which implies a blockage or significant restriction in their ability to use a specific feature of the product. This requires prompt resolution to enable them to proceed.</reason_for_urgency_level>
   <confidence_for_urgency_level>85</confidence_for_urgency_level>
</result>",Product/Service Inquiry,High (Time-Sensitive / Blocking),1226,1554,2780,8.797831059,TRUE,TRUE
