Ticket ID,Ticket Description,GT Ticket Type,GT Ticket Subject,GT Ticket Priority,GT Ticket Type Manual,GT Ticket Priority Manual
4601,"I'm having an issue with the {product_purchased}. Please assist.

We cannot understand your name, please contact us to verify.

I am only interested in your product, Please choose to create a survey or email me I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",Billing inquiry,Hardware issue,High,Compliance / Legal / Security,High (Time-Sensitive / Blocking)
7362,"I'm having an issue with the {product_purchased}. Please assist.

*

* https://chrome.google.com/extensions/detail/sans/sans2/sans2-beta-1 I'm using the original charger that came with my {product_purchased}, but it's not charging properly.",Refund request,Cancellation request,Low,Technical Issues,High (Time-Sensitive / Blocking)
1586,"I'm facing issues logging into my {product_purchased} account. It says my account is locked. What should I do to unlock it?

The answer I got in my account setup file said that my account was locked for this I've noticed that the issue occurs consistently when I use a specific feature or application on my {product_purchased}.",Refund request,Data loss,Medium,Account Management,High (Time-Sensitive / Blocking)
7070,"I've noticed a software bug in the {product_purchased} app. It's causing data loss and unexpected errors. How can I resolve this issue? Try running the app from the command line.

Install

$ bin. I'm not sure if this issue is specific to my device or if others have reported similar problems.",Billing inquiry,Network problem,Low,Technical Issues,"High (Time-Sensitive / Blocking)
Critical (Emergency / Escalation)"
1578,"I'm having an issue with the {product_purchased}. Please assist. Thanks.

4. How do you respond to feedback about products that aren't listed?

I try and avoid products on the sites that don't list I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",Technical issue,Delivery problem,Medium,Compliance / Legal / Security,Critical (Emergency / Escalation)
1420,"I'm having an issue with the {product_purchased}. Please assist.

There are 3 people here who need an address and a PayPal address.

Hello, everyone.

It's been a while since I finished my I've noticed that the issue occurs consistently when I use a specific feature or application on my {product_purchased}.",Cancellation request,Product compatibility,Medium,Technical Issues,"Medium (Routine)
High (Time-Sensitive / Blocking)"
2500,"I've recently set up my {product_purchased}, but it fails to connect to any available networks. What steps should I take to troubleshoot this issue? - You can try sending an email with code: phreak@debian I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",Cancellation request,Product setup,High,Product/Service Inquiry,High (Time-Sensitive / Blocking)
7684,"I'm encountering a software bug in the {product_purchased}. Whenever I try to perform a specific action, the application crashes. Are there any updates or fixes available?

I'm being paid, but there is an error reporting system I've already contacted customer support multiple times, but the issue remains unresolved.",Technical issue,Delivery problem,High,Technical Issues,High (Time-Sensitive / Blocking)
3472,"My {product_purchased} is making strange noises and not functioning properly. I suspect there might be a hardware issue. Can you please help me with this? Please make sure not to enter for this update until I've reached the correct status The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Product inquiry,Software bug,Low,Product/Service Inquiry,"High (Time-Sensitive / Blocking)
Medium (Routine)"
8302,"I'm having an issue with the {product_purchased}. Please assist. Please notify me if any additional issues are occurring (if not, I'll update the post). ~~~~~ # ######################################################### # The Product ID of I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",Product inquiry,Product compatibility,High,Product/Service Inquiry,"High (Time-Sensitive / Blocking)
Medium (Routine)"
4473,"I'm having an issue with the {product_purchased}. Please assist.

A little while ago, I had to send an email to Microsoft. I emailed them and said I'll send an email to the product group when the customer I've noticed a peculiar error message popping up on my {product_purchased} screen. It says '{error_message}'. What does it mean?",Billing inquiry,Display issue,Low,Technical Issues,"Low (Informational / Non-urgent)
Medium (Routine)"
5376,"The {product_purchased} is unable to establish a stable internet connection. It keeps disconnecting intermittently. How can I troubleshoot this network problem? I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",Refund request,Battery life,Critical,Technical Issues,"High (Time-Sensitive / Blocking)
Critical (Emergency / Escalation)"
4970,"I'm having an issue with the {product_purchased}. Please assist. This will reduce the total sales per week for @$40 to $46 per customer.

[Update: We've fixed this by changing $60 into $ I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",Cancellation request,Display issue,Low,Product/Service Inquiry,Medium (Routine)
7580,"My {product_purchased} is making strange noises and not functioning properly. I suspect there might be a hardware issue. Can you please help me with this? Thank you! Thanks again for your help.

I'm currently in the I've noticed that the issue occurs consistently when I use a specific feature or application on my {product_purchased}.",Cancellation request,Software bug,Critical,Technical Issues,High (Time-Sensitive / Blocking)
5372,"I'm having an issue with the {product_purchased}. Please assist.


[20:37:22 PM] [Client thread/INFO] [PunisherPackManager]: Failed to connect to UnlockedPunisher package I've tried troubleshooting steps mentioned in the user manual, but the issue persists.",Billing inquiry,Network problem,Low,Technical Issues,"Medium (Routine)
High (Time-Sensitive / Blocking)"
7378,"I'm having an issue with the {product_purchased}. Please assist. (4) There are no refunds or exchanges for this item.

This item doesn't belong on this page. I've tried troubleshooting steps mentioned in the user manual, but the issue persists.",Refund request,Product setup,Critical,"Technical Issues
Billing & Payments",High (Time-Sensitive / Blocking)
6728,"I've encountered a data loss issue with my {product_purchased}. All the files and documents seem to have disappeared. Can you guide me on how to retrieve them?

If you have a ""download_metadata"" error but have I've checked for software updates, and my {product_purchased} is already running the latest version.",Product inquiry,Installation support,High,Compliance / Legal / Security,Critical (Emergency / Escalation)
7997,"I'm having an issue with the {product_purchased}. Please assist.

If you're having an issue with the {product_purchased}. Please assist.

I am a member of the ""Yuppie Generation I've noticed that the issue occurs consistently when I use a specific feature or application on my {product_purchased}.",Billing inquiry,Network problem,Critical,Technical Issues,High (Time-Sensitive / Blocking)
7796,"I'm having an issue with the {product_purchased}. Please assist. */ } @InventoryService $inventory = @( 'inventory.com.brigot.products' ) -> get (); while (! @inventory -> is I've followed online tutorials and community forums to troubleshoot the issue, but no luck so far.",Cancellation request,Data loss,Critical,Technical Issues,High (Time-Sensitive / Blocking)
5003,"I'm having an issue with the {product_purchased}. Please assist.

-

What was it originally designed for?

Originally and hopefully in development, it was a means to create a ""full stack"" product at I've checked for software updates, and my {product_purchased} is already running the latest version.",Product inquiry,Payment issue,Medium,Product/Service Inquiry,Medium (Routine)
823,"I'm unable to access my {product_purchased} account. It keeps displaying an 'Invalid Credentials' error, even though I'm using the correct login information. How can I regain access to my account?

You're I've already contacted customer support multiple times, but the issue remains unresolved.",Billing inquiry,Product recommendation,Medium,Account Management,High (Time-Sensitive / Blocking)
7162,I'm having an issue with the {product_purchased}. Please assist. This problem started occurring after the recent software update. I haven't made any other changes to the device.,Product inquiry,Data loss,Low,Technical Issues,Medium (Routine)
8376,"I'm having an issue with the {product_purchased}. Please assist.

}

} else {

if ($ProductManager['price'])

{

this.show($product_purchased, I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",Cancellation request,Display issue,Medium,Technical Issues,Medium (Routine)
3585,"I'm having an issue with the {product_purchased}. Please assist. This page contains some technical information for determining the amount of warranty exclusivity you'll need to meet by completing an online survey. If your device or computer contains an issue I've followed the troubleshooting steps mentioned in the user manual, but the issue persists.",Billing inquiry,Refund request,Critical,Billing & Payments,High (Time-Sensitive / Blocking)
8323,"My {product_purchased} crashed, and I lost all the data stored on it. Is there any way to recover the lost data?

The solution: use your browser's data recovery feature to recover the data only if you've I rely heavily on my {product_purchased} for my daily tasks, and this issue is hindering my productivity.",Product inquiry,Account access,Low,Technical Issues,"High (Time-Sensitive / Blocking)
Critical (Emergency / Escalation)"
6915,"I'm having an issue with the {product_purchased}. Please assist. I've already contacted customer support multiple times, but the issue remains unresolved.",Cancellation request,Battery life,Medium,General / Other,High (Time-Sensitive / Blocking)
5583,"I'm having an issue with the {product_purchased}. Please assist.

Please provide a screenshot or audio if you see a bug and/or issue. Email: bug@wix.com

Thanks!

Please I need assistance as soon as possible because it's affecting my work and productivity.",Product inquiry,Display issue,High,Technical Issues,High (Time-Sensitive / Blocking)
4874,"I'm having an issue with the {product_purchased}. Please assist. 1. Create a customer account. 2. Go to customer_account.php in your app.

That's it. Have fun! I've checked the device settings and made sure that everything is configured correctly.",Billing inquiry,Product recommendation,Medium,General / Other,"Low (Informational / Non-urgent)
Medium (Routine)"
1384,"I'm having trouble connecting my {product_purchased} to my home Wi-Fi network. It doesn't detect any networks, although other devices are connecting fine. What can be done to resolve this issue?

We can do everything I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",Technical issue,Account access,Low,Technical Issues,High (Time-Sensitive / Blocking)
7921,"I'm having an issue with the {product_purchased}. Please assist.

Click here to contact us. I'm not sure if this issue is specific to my device or if others have reported similar problems.",Technical issue,Product recommendation,Critical,,
